trial_id,config_id,mode,micro_batch,grad_accum,global_batch,precision,world_size,trial_type,trial_value,result,step_time_mean_s,step_time_p95_s,gpu_memory_peak_mb,ooms,loss,gradient_norm,status,duration_s,ts
trial-94a1068c,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.603975+00:00
trial-971eebe5,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.604022+00:00
trial-31334f91,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.604063+00:00
trial-1a3278c1,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:18:01.604169+00:00
trial-53d919ba,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:17.911616+00:00
trial-600222ad,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:17.911747+00:00
trial-698f59c3,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:17.911821+00:00
trial-289d0e75,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:17.911877+00:00
trial-41362654,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:17.911928+00:00
trial-76a8b70c,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:17.911975+00:00
trial-aa8f694e,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:50.075486+00:00
trial-5fd85885,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:50.075605+00:00
trial-907dc4f6,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:50.075672+00:00
trial-5fa03f43,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:50.075727+00:00
trial-12322901,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:50.075768+00:00
trial-b8ce625d,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:23:50.075806+00:00
trial-cc3b981b,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:27:46.525288+00:00
trial-0af8f0c0,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:27:46.525414+00:00
trial-2b5108b8,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:27:46.525488+00:00
trial-6bc12429,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:27:46.525545+00:00
trial-d64455bc,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:27:46.525600+00:00
trial-8e735661,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T18:27:46.525648+00:00
trial-db140a02,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:04:32.389520+00:00
trial-b67962df,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:04:32.389643+00:00
trial-9c7ffe5e,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:04:32.389784+00:00
trial-c378882b,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:04:32.389872+00:00
trial-dde5518f,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:04:32.389951+00:00
trial-ba296bd8,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:04:32.390021+00:00
trial-97a8cf94,test-capacity,strict_repro,32,1,32,FP32,1,capacity,32,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:06:42.971957+00:00
trial-ceb789e8,test-capacity,strict_repro,16,1,16,FP32,1,capacity,16,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:06:42.972077+00:00
trial-ab84f88a,test-capacity,strict_repro,8,1,8,FP32,1,capacity,8,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:06:42.972146+00:00
trial-144a852e,test-capacity,strict_repro,4,1,4,FP32,1,capacity,4,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:06:42.972196+00:00
trial-c3833fef,test-capacity,strict_repro,2,1,2,FP32,1,capacity,2,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:06:42.972238+00:00
trial-758460b3,test-capacity,strict_repro,1,1,1,FP32,1,capacity,1,error: No module named 'torch',0.0,0.0,0.0,0,0.0,0.0,,0.0,2026-07-15T21:06:42.972279+00:00
